,,exret_mkt,FF_SMB,FF_HML,FF_RMW,FF_CMA,RF,FF_MOM,PR1,PR2,PR3,PR4,PR5,PR6,PR7,PR8,PR9,PR10,PR11,PR12,PR13,PR14,PR15,PR16,PR17,PR18,PR19,PR20,PR21,PR22,PR23,PR24,PR25,PRgrowth,PRvalue,Prsmall,Prlarge
15/04/1969,196904,1.46,-0.83,0.03,0.36,0.08,0.53,1.17,1.0512,-0.4918,0.9962,2.4926,0.0236,1.5504,1.1246,1.0608,-0.5481,4.6764,2.4349,0.1242,0.325,2.0859,0.4834,2.8737,2.3272,0.4506,-0.5986,1.7164,3.7241,1.1637,0.8682,3.0219,0.8245,3.59,-0.2,    0.11,    2.52
15/05/1969,196905,-0.1,-0.18,0.73,-0.92,1.51,0.48,1.68,1.0264,0.8101,1.0107,0.7894,0.4709,-1.9559,-1.6136,-0.9643,0.0683,0.4892,0.1268,0.2177,1.3272,1.4863,-1.8921,-0.1717,-0.7197,1.2997,1.1946,-2.4691,-0.4876,0.5525,0.9661,1.4482,0.6341,-0.23,-0.73,    1.28,    0.64
15/06/1969,196906,-7.18,-5.5,-1.09,4.27,-1.53,0.51,-2.22,-14.6433,-12.9202,-13.4579,-12.5925,-12.2861,-12.1776,-11.0698,-9.1469,-10.0546,-10.9428,-10.4639,-9.4864,-11.1956,-9.8437,-9.0532,-7.0806,-8.8078,-7.2027,-8.5142,-8.4162,-1.5913,-6.822,-7.4524,-6.6619,-8.4542,-1.65,-8.3,  -13.77,   -4.65
15/07/1969,196907,-7,-3.38,1.42,1.33,1.97,0.53,1.64,-13.0112,-11.4923,-10.9494,-10.3476,-7.9059,-10.7577,-10.0067,-8.4613,-6.5446,-8.3724,-10.1667,-10.2235,-6.3682,-6.0668,-7.759,-6.6259,-8.1243,-7.0042,-5.593,-8.0218,-4.0686,-5.9718,-6.3733,-8.1581,-5.6221,-4.46,-6.58,  -11.58,   -5.69
15/08/1969,196908,4.68,0.72,-3.87,1.16,-4.08,0.5,2.13,5.1291,4.8422,5.046,3.212,2.7246,7.15,6.8276,4.1137,3.2749,2.6711,9.7387,8.6584,6.9894,2.5204,5.7506,9.9212,5.4307,4.5749,3.4633,2.8016,7.0342,4.7007,3.8089,4.4301,1.9329,7.31,1.84,    4.14,    5.04
15/09/1969,196909,-2.98,1.3,-3.19,3.35,-0.83,0.62,2.53,-2.9798,-5.0279,-5.0658,-2.2643,-3.4794,1.6381,-1.0377,-1.821,-0.8409,-1.4154,0.308,0.0786,-1.6725,-2.1209,-3.5914,0.5861,-1.4474,-2.3818,-3.2435,-3.4427,-0.4799,-2.2752,-2.4328,-5.6853,-4.5823,-0.34,-4.05,   -3.29,   -3.04
15/10/1969,196910,5.06,3.89,-3.19,0.04,-2.03,0.6,-4.32,14.1186,12.4213,9.2518,7.9577,6.3916,11.2421,8.5797,6.6762,6.1162,6.9707,8.7864,6.934,7.2505,8.7271,7.0079,8.9522,7.2761,8.2929,6.2379,5.3617,5.9601,5.1747,4.5128,2.2019,3.7667,6.98,4.14,   10.78,    4.10
15/11/1969,196911,-3.79,-2.41,-1.12,1.5,0.32,0.52,3.6,-8.4435,-7.2131,-6.2001,-5.9873,-7.3597,-3.4938,-5.5421,-3.3531,-5.2777,-5.3212,-4.6659,-4.589,-6.5034,-3.6143,-5.6919,-2.1263,-3.8649,-3.2492,-5.2749,-5.9771,-1.4025,-3.697,-3.7597,-4.5154,-1.9489,-1.44,-5.78,   -7.06,   -2.73
15/12/1969,196912,-2.63,-3.69,-3.02,2.41,-2.04,0.64,5.05,-8.2171,-7.39,-5.9485,-8.272,-8.5302,-4.1432,-6.2187,-7.2926,-6.0291,-6.0323,-2.9038,-1.7471,-4.2232,-4.6484,-5.0575,0.4296,-4.2853,-1.915,-1.9081,-4.0928,0.977,-1.4689,-1.4903,-1.805,-5.2323,1.32,-4.98,   -8.68,   -0.95
15/01/1970,197001,-8.1,3.08,3.04,-1.77,3.92,0.6,0.63,-4.7848,-3.4122,-3.8976,-2.4807,0.1067,-6.9194,-6.9281,-1.7945,-3.8827,-1.7957,-9.699,-6.1508,-7.881,-3.952,-3.5088,-7.9422,-11.387,-7.713,-6.1442,-5.8915,-8.4892,-6.8116,-8.2065,-9.6678,-4.2748,-8.75,-3.01,   -1.88,   -8.08
15/02/1970,197002,5.13,-2.56,4.04,-2.21,3.06,0.62,0.12,2.2377,3.431,4.1602,3.119,4.1837,2.7196,2.5239,2.4885,8.433,7.0575,3.8189,2.202,5.7334,5.5239,7.5044,4.2972,4.892,6.4879,8.9545,6.9221,3.5393,5.1141,9.0932,6.8986,8.1662,3.1,7.96,    2.80,    5.60
15/03/1970,197003,-1.06,-2.4,4.25,-0.96,4.43,0.57,-0.29,-6.519,-5.2447,-2.5889,0.3368,-1.3183,-5.875,-2.2697,-0.1566,-0.1572,0.6892,-3.8995,-0.5679,-1.2098,1.5576,1.1189,-4.1747,0.177,1.5355,0.6978,2.2327,-2.4577,-0.1725,2.8517,0.6363,1.6308,-3.1,1.09,   -4.13,    0.04
15/04/1970,197004,-11,-6.29,6.39,-0.65,5.88,0.5,-0.73,-24.1377,-18.8457,-15.1103,-12.8566,-11.9526,-22.1697,-17.0233,-14.7365,-11.0724,-11.1614,-20.2977,-14.2844,-13.3038,-8.9397,-10.9012,-15.7085,-14.916,-9.7354,-9.7936,-9.362,-10.5209,-8.2743,-8.9741,-6.991,-7.9814,-11.77,-8.23,  -18.87,   -8.45
15/05/1970,197005,-6.92,-4.41,3.6,-1.28,3.62,0.53,-2.73,-10.2007,-10.1552,-9.1963,-8.0972,-10.4477,-13.0001,-8.2296,-11.2348,-8.1805,-8.16,-11.0971,-10.8065,-12.8587,-6.6485,-7.7774,-11.005,-9.6814,-7.7058,-7.1513,-8.272,-8.0959,-6.0817,-5.0606,-0.0469,-4.022,-8.27,-6.82,   -9.66,   -4.82
15/06/1970,197006,-5.79,-2.17,0.87,0.17,2.9,0.58,5.78,-12.1295,-8.6804,-7.3519,-8.2022,-5.9918,-10.4731,-7.306,-8.1651,-7.0657,-6.061,-8.312,-4.5913,-7.1789,-4.8112,-6.8678,-2.5091,-5.1625,-3.6757,-3.4046,-10.6583,-6.2626,-4.0774,-3.6599,-2.0587,-8.1687,-7.08,-8.49,   -8.08,   -4.99
15/07/1970,197007,6.93,-0.68,0.96,-0.07,1.9,0.52,-2.94,4.8193,5.6001,5.1083,6.462,3.8386,6.6983,7.6115,5.6098,10.6859,7.8015,7.6816,6.8066,9.996,5.5331,7.1924,6.4111,9.3749,8.0451,9.0704,11.2523,4.3922,8.2119,8.9815,10.6908,6.1429,2.48,5.03,    4.05,    7.32
15/08/1970,197008,4.49,1.55,1.03,0.57,-0.15,0.53,-6.5,5.6018,6.4504,7.1439,6.7746,6.3099,9.6727,9.1103,5.7632,7.6604,4.5388,5.8445,7.9213,5.7464,6.0189,7.7959,4.4558,8.2145,4.0252,5.3546,6.7357,3.9889,5.1738,4.4127,4.8861,6.1977,4.65,6.03,    5.97,    4.43
15/09/1970,197009,4.18,8.49,-5.58,0.2,-5.93,0.54,-8.92,22.1533,16.5351,15.6429,11.5915,11.6226,17.92,18.8145,9.7523,6.8438,9.5981,15.3194,9.8387,9.2255,5.1491,6.0802,9.6204,6.1701,4.8124,3.876,8.0408,7.1793,0.3232,-0.3073,0.3133,4.3883,8.76,7.06,   16.74,    2.85
15/10/1970,197010,-2.28,-4.51,0.27,1.76,2.38,0.46,9.61,-11.1332,-7.4491,-11.2927,-6.517,-4.9597,-4.5085,-8.6941,-6.0484,-3.5733,-4.412,-5.9776,-4.256,-6.2362,-2.8849,-4.6272,-2.5379,-3.4943,-3.2843,-3.4431,-6.1944,-0.0834,-0.9626,-3.3595,0.0515,-3.7701,-0.44,-4.84,   -8.81,   -0.50
15/11/1970,197011,4.59,-4,1.63,1.76,1.59,0.46,2.89,-4.7154,-2.1189,-2.0878,0.3752,0.2121,0.7623,1.3604,3.061,5.5599,3.8469,2.9872,3.0673,4.6339,4.97,1.9634,4.8071,3.0624,6.1615,8.4037,4.8136,5.1627,6.7696,5.2181,5.8573,5.6782,4.36,4.46,   -2.81,    5.45
15/12/1970,197012,5.72,3.04,1.01,0.14,0.28,0.42,-2.19,6.9806,7.325,10.4416,11.5793,10.7042,8.6209,8.6818,8.2086,9.3818,9.6823,6.3513,9.6146,10.9605,8.0681,9.0554,6.0601,10.5931,8.4147,10.0367,7.608,4.6849,5.7842,7.4988,5.0622,6.912,4.59,8.84,    9.15,    5.19
15/01/1971,197101,4.84,7.54,1.38,-2.15,-0.14,0.38,-6.71,15.265,13.7848,16.3131,14.118,15.9153,7.7123,12.0832,12.7996,10.8951,13.0817,8.1804,8.8541,10.9272,8.1115,8.6798,5.3424,7.0897,5.0445,8.6475,13.9973,4.0971,4.3072,3.2817,3.0056,4.0309,4.26,7.61,   17.42,    3.47
15/02/1971,197102,1.41,2.05,-1.29,0.53,-0.72,0.33,0.81,8.0016,7.4662,6.0985,3.3183,4.0546,4.2692,2.8002,2.6141,1.5049,0.8875,4.1106,1.9429,2.4363,1.2036,1.8391,3.6853,2.8763,0.2732,3.2431,1.2121,2.3371,0.3526,0.6688,0.4805,1.2515,2.48,1.87,    6.83,    1.26
15/03/1971,197103,4.13,2.15,-4.04,2,-2.69,0.3,-1.21,8.3387,4.6303,7.8614,6.4925,5.0614,7.8649,6.7125,5.8242,4.206,1.3875,10.4679,9.2967,3.8216,2.9848,4.6816,6.7906,6.1755,4.6939,2.3501,3.5129,5.8573,2.9002,4.8457,1.4359,2.5005,6.85,3,    6.16,    4.08
15/04/1971,197104,3.15,-0.36,0.72,-1.57,0.72,0.28,1.32,0.7751,3.2558,2.2398,2.7385,1.8374,1.9512,2.8004,2.2508,3.6028,7.0302,6.1768,4.7265,4.4249,2.6042,8.0518,3.0384,3.0717,1.9524,4.1438,9.1729,3.6288,5.6615,0.6443,2.6168,6.1543,3.05,7.94,    1.47,    3.45
15/05/1971,197105,-3.98,-1.16,-1.38,1.4,0.3,0.29,0.89,-6.6005,-5.0951,-7.3446,-4.9587,-6.5751,-3.3843,-5.939,-4.7815,-4.5452,-4.4678,-4.5223,-2.5645,-4.7629,-3.9181,-3.0999,-2.1565,-3.4069,-4.1169,-3.145,-4.3719,-2.4319,-4.3527,-4.1733,-5.0191,-3.6535,-2.97,-4.16,   -6.52,   -3.82
15/06/1971,197106,-0.1,-1.44,-2.06,1.54,-1.74,0.37,2.72,-0.422,-3.5857,-2.2913,-1.2437,-2.1789,3.6934,-1.603,0.3284,-2.113,-3.3626,-1.7361,1.743,-1.4582,-1.886,-2.492,1.2396,1.0376,2.4249,0.5801,-3.9426,1.2369,-0.8531,-0.2782,0.8516,-0.2821,1.45,-0.71,   -2.99,    0.46
15/07/1971,197107,-4.5,-1.42,0.17,0.5,1.62,0.4,-2.37,-8.6193,-8.0617,-7.2468,-6.0359,-5.9248,-6.4101,-4.7229,-3.456,-6.4962,-5.7433,-8.0235,-4.49,-3.2766,-5.8132,-4.687,-3.6115,-4.194,-3.7903,-4.245,-7.6081,-3.9818,-3.9036,-3.47,-3.2955,-5.4874,-4.94,-6.71,   -6.72,   -3.86
15/08/1971,197108,3.79,-0.18,2.67,-0.34,2.6,0.47,3.51,3.2904,4.3823,2.8097,4.5556,5.6658,4.0763,7.0717,3.2397,6.1513,7.789,6.5548,5.0149,1.9193,7.4981,8.9974,7.0205,4.2863,2.2887,3.2849,10.5583,5.4018,4.6593,-1.4296,1.9692,13.5874,4.74,12.39,    3.12,    4.00
15/09/1971,197109,-0.85,0.19,-2.96,2.64,-1.56,0.37,2.09,1.2092,2.0897,-0.1227,-0.6269,-2.4154,2.1,-1.1794,-2.0313,-1.7237,-2.8304,1.1319,0.3323,-0.6776,-1.3321,-2.9794,1.8795,-0.9544,-0.3164,-0.3825,-4.4393,0.3387,-1.1075,-1.2776,-1.4516,-2.1494,0.98,-4.14,   -0.19,   -0.39
15/10/1971,197110,-4.42,-1.66,-0.43,1.48,-1.24,0.37,0.46,-7.859,-6.7823,-7.0876,-4.4492,-7.2847,-5.9569,-5.3177,-3.0833,-4.3483,-6.6553,-7.99,-6.411,-3.1751,-4.6882,-5.2486,-3.3647,-3.2479,-2.0563,-5.715,-5.8661,-3.4926,-5.231,-3.63,-2.7068,-4.0156,-3.08,-6.28,   -6.98,   -3.25
15/11/1971,197111,-0.46,-2.9,-1.7,2.4,-0.36,0.37,1.48,-3.2672,-5.7882,-3.7562,-4.3925,-5.5661,-1.8937,-2.1995,-1.6622,-2.4273,-2.7362,-1.9211,-1.2485,-0.5797,-4.1878,-4.7168,0.3349,-1.879,-2.713,0.5239,-4.3881,1.1001,1.0482,-0.1322,-0.5533,0.2834,1.15,-3.06,   -5.55,    1.00
15/12/1971,197112,8.71,3.29,-0.35,-0.38,-1.83,0.37,-0.68,14.4857,14.2443,10.7367,11.7826,13.3978,13.0665,14.0792,12.8952,10.8785,12.6507,14.1162,9.6104,10.1743,11.934,12.3823,12.3215,9.9052,8.7801,8.3569,12.461,8.4533,9.3147,8.8809,6.9302,8.9392,9.82,11.34,   12.87,    8.07
15/01/1972,197201,2.49,6.33,1.99,-1.49,0.29,0.29,0.24,13.2243,13.3839,11.8551,10.8438,14.8231,9.3967,6.4271,5.4412,6.8567,11.0324,6.0628,4.0032,2.8965,5.8725,8.4751,3.134,1.9438,1.2159,3.0968,8.265,2.7529,0.5406,-0.7284,0.8187,6.383,4.26,9.41,   14.71,    1.73
15/02/1972,197202,2.87,0.97,-2.76,1.74,-0.52,0.25,2.7,3.0288,5.4772,4.1598,4.223,3.5288,5.0846,4.4007,4.4269,1.6839,4.1196,6.8812,4.0299,2.0493,-0.5206,1.9588,5.4574,1.8077,0.0202,2.1309,0.388,4.6021,2.2469,1.2569,0.373,0.064,5.13,1.81,    4.63,    3.01
15/03/1972,197203,0.63,-0.49,-1.73,1.58,-0.19,0.27,2.91,2.9574,0.1033,-1.9318,-1.5705,-0.4498,1.8952,1.7883,-0.8489,-0.3152,-1.5953,2.4413,1.2481,2.1304,0.3312,-1.7522,0.8273,-0.2286,2.7861,1.8853,0.8433,2.5899,0.9958,-3.8171,-1.9027,2.8601,2.09,0.63,   -0.88,    1.13
15/04/1972,197204,0.29,0.15,0.23,-0.58,-0.89,0.29,2.9,-1.2312,0.1863,-1.0711,1.3021,1.1047,-0.3021,0.8416,1.9206,1.8755,1.6854,1.5955,-0.6533,-0.0653,0.5054,0.1818,-0.9256,-0.7039,-0.3518,1.2618,3.5647,0.8988,1.5791,-0.2724,0.1594,-1.088,0.96,0.09,    0.52,    0.57
15/05/1972,197205,1.25,-3.14,-2.69,2.3,-1.85,0.3,3.19,-1.574,-1.902,-4.1382,-2.2623,-2.242,-0.4999,-1.6408,-1.8829,-3.3741,-1.454,1.2148,-1.8099,0.9868,-1.1605,-3.4503,3.7084,-1.4808,-1.3345,-0.0409,0.4975,3.3767,-0.5376,3.1822,1.003,-2.6657,4.2,-2.42,   -2.84,    2.64
15/06/1972,197206,-2.43,-0.37,-2.51,1.74,-0.36,0.29,1.93,-4.2146,-4.6749,-3.3241,-3.1462,-3.7598,-4.4179,-2.0794,-1.3567,-1.4561,0.7754,-0.1086,-1.8731,-4.0504,-4.4347,-5.8427,-4.0661,-1.8151,-2.0477,-4.643,-7.7827,-0.6541,-3.2331,-2.76,-2.3387,-6.6736,-0.02,-5.85,   -4.26,   -1.40
15/07/1972,197207,-0.8,-2.74,0.78,1,-0.59,0.31,2.75,-7.1083,-5.0697,-3.9663,-3.4496,-2.7841,-5.2662,-4.8438,-3.2931,-1.7204,-3.9096,-3.2477,-1.4751,-3.0768,-0.6473,-1.0169,-3.5083,-4.0562,-2.0701,0.0069,-2.0854,1.6293,-1.2429,0.1492,-1.2729,-1.6451,1.73,-2.1,   -3.69,    0.90
15/08/1972,197208,3.26,-3.53,4.69,-2.08,2.95,0.29,-5.34,-1.6386,-2.463,0.4747,-0.047,2.2304,-0.5222,-1.6713,2.3176,1.458,4.9897,0.3034,2.0877,2.8763,5.3939,4.1215,-0.0258,2.8998,4.9341,5.2415,7.068,0.664,6.8372,7.1393,8.9955,6.1542,0,4.97,   -0.14,    3.70
15/09/1972,197209,-1.14,-2.25,0.47,1.59,-1.98,0.34,1.75,-4.9184,-4.8493,-4.7702,-3.699,-4.1984,-3.5157,-3.5498,-2.2165,-2.2407,-3.3148,-1.6826,-2.5299,-1.0278,-1.9631,-2.6219,-1.8884,-3.1267,-0.7059,-2.3718,-3.9988,0.2125,-1.734,-1.7358,1.9614,-3.754,0.48,-3.95,   -4.43,    0.19
15/10/1972,197210,0.52,-2.53,1.37,-0.11,-0.05,0.4,0.75,-3.2705,-3.4744,-2.8225,-2.067,-1.928,-4.0425,-0.3182,1.3506,0.6992,-0.6545,-2.7181,-0.9541,1.3596,0.7255,0.3198,-1.5972,-0.5988,1.6455,2.3444,-0.9554,0.9864,1.0753,2.1505,2.3695,1.057,0.51,-0.83,   -3.20,    1.45
15/11/1972,197211,4.6,-0.52,4.76,-1.98,3.35,0.37,-5.14,-0.4577,4.2471,4.5199,5.9879,6.0429,4.4635,4.9164,7.2107,4.3425,7.7099,3.0239,4.2227,6.5957,7.5255,7.4313,6.6466,8.0087,6.5806,7.0591,11.0542,1.5477,6.6727,6.8689,8.0191,13.8047,1.14,12.57,    4.33,    4.01
15/12/1972,197212,0.62,-1.82,-2.27,2.52,-2.2,0.37,4.98,-1.9083,-2.5267,-3.2776,-2.5243,-1.4525,-0.638,-2.7064,0.4054,-3.3763,-2.3314,1.0027,-0.41,-0.6704,-1.0676,-2.6231,0.5545,-1.0691,-1.1204,-1.4912,-4.4099,3.7105,-0.1227,-0.7422,0.0354,-2.6384,3.62,-3.11,   -2.85,    2.29
15/01/1973,197301,-3.29,-2.8,2.68,0.3,0.92,0.44,3.71,-8.095,-4.5014,-3.2752,-3.5899,-1.3618,-10.6416,-5.5263,-6.8587,-2.9316,-5.8796,-7.4915,-7.5619,-5.9722,-3.6055,-4.9391,-6.4942,-7.2908,-5.8484,-3.4461,-4.2466,-1.546,-4.0219,-1.0017,0.6144,-4.3609,-1.11,-4.44,   -2.83,   -0.57
15/02/1973,197302,-4.85,-4.02,1.7,-0.37,-0.01,0.41,2.12,-13.9399,-8.9493,-8.276,-8.1874,-6.0266,-14.0163,-7.9335,-7.7675,-5.6444,-5.5689,-10.9568,-8.3545,-7.4951,-3.1096,-7.2626,-8.4757,-7.4349,-4.6601,-3.6252,-2.0725,-2.1154,-3.1594,-4.8583,-5.8821,-3.3765,-2.32,-3.71,   -8.08,   -3.20
15/03/1973,197303,-1.3,-2.32,2.78,-1.07,0.73,0.46,3.62,-6.7903,-4.1652,-2.7312,-0.9065,-1.8052,-4.9387,-2.5696,-2.2392,-2.2935,-0.153,-4.8994,-4.2398,-1.9479,-1.8353,-0.2074,-3.9415,-4.025,-1.6732,-2.3818,0.8214,-0.8559,-0.9978,1.8255,1.8775,1.5699,-1.25,2.31,   -2.41,    0.18
15/04/1973,197304,-5.68,-3.01,5.69,-1.76,2.71,0.52,6.4,-11.773,-9.9498,-6.2525,-6.3719,-5.4006,-14.2898,-9.3109,-5.7118,-4.2591,-4.8823,-11.2325,-6.2923,-3.9136,-3.6767,-4.3036,-10.973,-8.1311,-2.9262,-2.8407,-4.6427,-5.9404,-3.3793,-2.1336,-0.6921,-2.7667,-6.4,-4.58,   -7.24,   -3.81
15/05/1973,197305,-2.94,-5.98,0.21,2.03,-1.79,0.51,7.09,-11.06,-11.0985,-9.2077,-7.661,-8.3009,-11.1832,-9.3749,-7.7523,-6.2325,-9.0866,-9.1413,-8.4464,-4.5765,-2.7948,-7.3209,-7.1497,-7.3865,-2.3338,-2.5361,-4.5471,0.1849,-1.1661,-0.9022,-3.2685,-5.6095,0.09,-6.51,   -9.37,   -0.70
15/06/1973,197306,-1.56,-2.55,1.44,-0.33,0.22,0.51,4.31,-4.8488,-4.0558,-4.572,-2.9288,-2.3581,-6.9645,-4.0516,-2.6886,-2.235,-1.6033,-6.5218,-3.0551,-1.6211,-0.9393,-2.9258,-4.6602,-3.8809,-3.0835,-0.9388,-3.7299,-0.379,-0.3555,0.7119,-0.6893,-2.0291,-0.27,-2.74,   -3.50,    0.16
15/07/1973,197307,5.05,7.28,-5.31,-0.02,-3.45,0.64,-11.69,18.8909,16.0876,11.9724,13.4686,10.4146,22.0069,13.41,11.1516,6.8423,9.8991,19.3952,9.7057,7.0282,2.136,7.7097,15.2975,9.0437,6.9644,3.0588,8.9159,5.4012,5.4572,-0.1794,1.9957,4.2202,5.78,6.7,   12.04,    3.44
15/08/1973,197308,-3.82,-1.73,1.14,-1.36,1.2,0.7,3.42,-5.4962,-6.7877,-5.8183,-5.8733,-4.5135,-3.1255,-6.9885,-4.8099,-5.0746,-3.9994,-3.0109,-4.251,-4.1312,-2.4668,-0.7749,-2.6441,-0.8146,-2.1048,-3.0974,-0.1108,-3.5474,-2.4332,-3.6972,-2.3787,0.7817,-3.7,-0.37,   -5.88,   -3.47
15/09/1973,197309,4.75,3.54,2.18,-2.32,1.82,0.68,-7.03,11.9054,11.4673,6.7503,7.8248,7.0303,10.9799,11.0725,11.546,7.0591,10.257,11.2477,10.1175,10.0697,8.8722,10.4922,9.9207,11.699,11.5886,9.7744,10.5181,-0.1193,7.7678,8.7167,8.5755,8.2683,-0.71,9.66,    7.37,    2.86
15/10/1973,197310,-0.83,-0.29,1.74,-1.76,2.59,0.65,6.75,-2.8121,0.5383,1.0526,0.2967,1.2692,-3.0921,-3.3298,1.3692,1.1173,1.4504,-3.9385,2.56,0.488,-0.5315,1.3555,-2.6307,-1.0833,1.2824,-0.4283,1.7874,0.4563,-0.6963,0.2898,-3.011,2.5475,0.02,4.34,    0.02,    0.18
15/11/1973,197311,-12.75,-7.25,4.04,-2.7,1.49,0.56,8.63,-24.9512,-21.5644,-18.9797,-16.7335,-18.0178,-23.4309,-20.335,-19.1332,-15.6671,-15.9422,-22.9105,-18.1826,-15.9361,-12.2006,-16.0841,-20.3185,-17.2834,-14.3695,-12.0881,-14.8757,-10.7072,-12.7209,-10.7978,-6.3256,-8.2484,-11.77,-10.55,  -19.50,   -9.86
15/12/1973,197312,0.61,-4.61,4.09,-2.73,2.3,0.64,10.39,-3.7318,-4.6435,-3.8024,-2.9114,-4.2017,-0.3993,-4.7396,-0.673,-1.2989,-0.8865,-1.4226,0.7472,0.665,0.6016,2.3633,0.1321,3.1593,6.7241,2.8845,6.5777,-2.0518,0.875,7.2419,5.0292,11.1342,-2.47,8.3,   -4.85,    1.32
15/01/1974,197401,-0.17,10.41,5.99,-3.15,4.47,0.63,-8.82,10.2564,14.3733,14.8456,12.7882,18.9135,4.4891,11.5033,9.2613,10.6806,13.4621,5.2388,4.3929,8.5097,7.665,11.5617,-1.6398,2.1104,2.9239,7.73,5.4814,-2.0148,0.6397,-2.8911,0.7426,-0.0824,-1.59,5.66,   13.79,   -2.00
15/02/1974,197402,-0.47,0.17,2.54,-1.97,2.67,0.58,0.14,-0.4327,-0.8116,-0.1771,-0.1933,1.1126,0.3791,1.2544,1.1686,1.8324,4.1294,-2.6032,0.1017,1.5936,0.4831,2.336,-2.3521,0.6862,2.4059,1.8132,3.4912,-1.348,1.8056,-0.9469,2.8152,3.8127,-1.69,2.78,    0.12,   -0.08
15/03/1974,197403,-2.81,2.63,-0.11,2.79,0.36,0.56,-0.99,0.2547,-0.8294,0.5101,1.424,1.9177,-1.6273,2.2277,-1.626,-0.9799,0.6495,-1.8103,-0.8813,-3.1134,-1.5571,-1.0048,-2.5654,-3.5646,-4.7338,-2.9281,-2.233,-1.5556,-3.5372,-2.3255,-3.481,-4.7587,-1.62,-2.77,    1.59,   -2.22
15/04/1974,197404,-5.29,-0.62,1.06,2.88,1.85,0.75,2,-4.6938,-5.9535,-5.0726,-5.4536,-4.0188,-8.2904,-6.3536,-5.6877,-3.9691,-3.3809,-6.1983,-7.2098,-4.4076,-5.9237,-2.3637,-6.971,-6.8635,-5.9695,-6.6776,-1.6042,-3.0502,-4.2441,-5.0152,-6.0677,-5.4214,-3.03,-1.37,   -5.17,   -3.63
15/05/1974,197405,-4.68,-3.16,-2.04,4.99,0,0.75,-0.26,-8.148,-7.437,-8.1869,-6.9097,-6.0333,-6.5461,-7.5709,-7.693,-7.115,-7.5688,-7.0539,-9.4032,-6.6911,-7.0402,-8.2956,-6.3009,-8.8206,-5.3673,-6.0191,-7.232,-0.3819,-3.5371,-5.6041,-3.327,-7.8042,-0.41,-7.93,   -7.19,   -1.69
15/06/1974,197406,-2.83,-0.02,0.79,0.67,3.06,0.6,2.37,-3.6129,-3.4239,-2.2222,-2.299,-1.4846,-3.7631,-3.1337,-2.7029,-0.5559,-0.476,-4.5243,-2.6598,-3.4521,-4.4023,-0.4608,-2.4341,-3.5981,-2.8009,-4.6133,-4.4313,-1.4878,-2.7332,-1.8008,-2.1211,1.5699,-1.74,0.64,   -2.78,   -1.48
15/07/1974,197407,-8.05,2,5.14,-3.43,4.58,0.7,3.01,-8.5456,-5.5625,-5.1822,-4.6132,-3.9571,-7.2553,-3.8593,-4.1338,-3.7251,-2.7829,-6.7227,-2.5965,-2.1291,-3.1338,0.9727,-8.7236,-5.9336,-2.3244,-0.8681,-0.797,-10.9922,-4.1501,-3.6979,-4.1023,-5.1037,-11.95,-1.66,   -5.59,   -8.72
15/08/1974,197408,-9.35,0.32,2.5,-0.24,2.55,0.6,3,-9.2344,-8.2372,-7.5534,-7.522,-7.0445,-9.6909,-11.0387,-6.3746,-7.803,-5.4609,-10.9991,-10.2247,-6.6789,-6.9036,-6.8741,-11.7515,-8.7946,-8.3276,-6.7075,-6.1601,-9.9553,-7.629,-4.514,-7.7518,-8.6429,-9.72,-6.32,   -8.03,   -8.37
15/09/1974,197409,-11.77,1.44,5.49,-4.33,5.91,0.81,4.32,-13.4592,-8.3223,-6.8005,-6.9356,-8.4589,-12.0908,-7.0373,-8.1147,-7.6102,-7.1827,-13.041,-8.8581,-6.8666,-4.6389,-6.4537,-11.7792,-7.1297,-4.9879,-6.337,-8.1215,-14.7521,-9.8505,-4.8522,-5.1296,-6.6263,-16.49,-8.36,   -7.72,  -12.48
15/10/1974,197410,16.1,-6.85,-9.99,-0.16,-2.94,0.51,-0.5,16.9598,7.1642,6.9585,7.8464,8.8335,16.0347,10.7417,7.542,7.6498,6.4591,18.6379,10.755,7.0551,8.5552,10.1929,21.3468,13.0646,11.5334,9.6551,10.3515,22.3391,13.9332,13.3998,10.5845,1.3135,23.03,8.96,    7.05,   18.12
15/11/1974,197411,-4.51,-1.46,-0.16,-3.48,2.95,0.54,2.17,-6.0607,-5.5491,-5.0221,-5.22,-6.805,-5.2583,-4.5728,-3.8925,-5.2096,-6.9178,-4.4203,-4.0662,-2.9763,-4.1514,-1.9392,-2.211,-0.4523,-1.3884,-3.8485,-6.5951,-4.6107,-3.2869,-4.1059,-2.3229,-4.1065,-4.89,-6.7,   -5.86,   -4.63
15/12/1974,197412,-3.45,-4.37,0,-0.59,3.23,0.7,2.95,-7.1546,-8.0748,-7.3264,-7.4453,-9.3138,-6.2175,-6.1678,-5.9521,-6.7585,-5.7272,-5.6045,-4.3972,-4.1678,-5.0989,-7.2347,-4.3959,-2.4842,-4.0839,-1.9956,-9.6519,-3.7992,0.3563,1.4302,-1.0444,1.8779,-4.48,-8.35,   -8.47,   -2.09
15/01/1975,197501,13.66,12.78,8.44,-0.69,-0.86,0.58,-13.89,25.464,29.5017,28.1608,27.8439,33.8763,21.9158,26.1202,26.3358,27.5856,29.7109,19.0432,24.9656,21.9384,23.4015,29.2039,15.5163,20.4446,24.014,24.3605,27.8984,9.2216,13.8965,13.7987,19.7621,15.6642,10.39,30.59,   26.94,   10.77
